"company","datacenter_name","datacenter_id","mi_datacenter_id","mi_company_id","facility_owner","street_address","total_UPS_power","net_UPS_power","net_UPS_power_utilized","total_utility_power","PUE","kW_per_rack","total_revenue","year_built","year_operational","quarter_operational","year_retrofitted","year_decommissioned","quarter_decommissioned","operational_status","center_type","tenant_type","county","state_ab","state","zip_code","latitude","longitude"
"Equinix, Inc.","LA4","751","10097738","4570011","Equinix, Inc.","445 North Douglas Street",11070,11070,9963,16000,1.7,4.92,76.41,2002,2002,NA,2009,NA,NA,"Operational","Retail","Multi","Los Angeles","CA","California","90245",33.92166,-118.384024
"CoreSite Realty Corporation","LA4","2068","10159022","4258680","CoreSite Realty Corporation","800 South Hope Street",3190,1847,1591.8,6061,1.9,5.11,9.79,1981,1981,NA,NA,NA,NA,"Operational","Wholesale","Multi","Los Angeles","CA","California","90017",34.04627,-118.258966
"Equinix, Inc.","LA7","2118","10125346","4570011","Equinix, Inc.","1501 Francisco Street",14780.67,14780.67,12563.57,17516,1.6,5.11,31.02,2000,2000,NA,NA,NA,NA,"Operational","Retail","Multi","Los Angeles","CA","California","90501",33.85071,-118.30411
"Us Dedicated LLC","LADedicated","6841","10340262","10799286","CoreSite Realty Corporation","900 N. Alemeda St.",150,150,90,225,1.5,5.25,0.25,NA,2013,1,NA,NA,NA,"Operational","Retail","Multi","Los Angeles","CA","California","90017",34.05811,-118.235398
"Cologix, Inc.","LAK1","8321","10346829","4316056","Cologix, Inc.","2850 Interstate Dr",2400,2400,2208,3600,1.5,5.25,8.56,NA,2014,1,2018,NA,NA,"Operational","Retail","Multi","Polk","FL","Florida","33805",28.079457,-81.97547
"TeraWulf Inc.","Lake Mariner","14435","10362655","29292121","TeraWulf Inc.","Lake Road",153000,153000,153000,168300,1.1,0,0,2022,2022,1,NA,NA,NA,"Operational","Cryptocurrency","Single","Niagara","NY","New York","14012",43.35678,-78.60427
"Alphabet Inc.","Lancaster 1","12806","10343818","4633618","Alphabet Inc.","231 Whiley Road",50000,50000,50000,60000,1.1,7,0,2024,2024,1,NA,NA,NA,"Operational","Hyperscale","Single","Fairfield","OH","Ohio","43130",39.724013,-82.69105
"Skybox Datacenters, LLC","Lancaster 1-3","11037","10341499","7656387","Skybox Datacenters, LLC","2401 S Dallas Rd",0,0,0,108000,1.8,0,0,2027,2027,3,NA,NA,NA,"Planned","Wholesale","Single","Dallas","TX","Texas","75146",32.572871,-96.767376
"Alphabet Inc.","Lancaster 2","13980","10362325","4633618","Alphabet Inc.","231 Whiley Road",50000,50000,50000,60000,1.1,0,0,2024,2024,3,NA,NA,NA,"Operational","Hyperscale","Single","Fairfield","OH","Ohio","43130",39.724062,-82.687442
"Machine Investment Group, LP","Lancaster DC","48981",NA,"24169410","Machine Investment Group, LP","1375 Harrisburg Pike",NA,NA,NA,1e+05,1.3,5.25,0,NA,NA,NA,NA,NA,NA,"Planned","Wholesale","Multi","Lancaster","PA","Pennsylvania","17601",40.059458,-76.332499
